card_number,variant,category,color,cost,life,power,counter,attribute,types,effect,trigger,artist,block,standard,extra
ST22-011p1,Parallel,Character,Blue,1,,1000,2000,Slash,Whitebeard Pirates,"[Your Turn] [On Play] You may reveal 2 cards with a type including ""Whitebeard Pirates"" from your hand: Up to 1 of your Leader with a type including ""Whitebeard Pirates"" gains +2000 power during this turn.",,Koushi Rokushiro,3,legal,legal
ST22-012,,Character,Blue,4,,5000,1000,Special,Whitebeard Pirates,"[Once Per Turn] If this Character would be K.O.'d by your opponent's effect, you may trash 1 card from your hand instead. [When Attacking] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", this Character gains +1000 power until the end of your opponent's next turn.",,Hokuyuu,3,legal,legal
ST22-012p1,Parallel,Character,Blue,4,,5000,1000,Special,Whitebeard Pirates,"[Once Per Turn] If this Character would be K.O.'d by your opponent's effect, you may trash 1 card from your hand instead. [When Attacking] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", this Character gains +1000 power until the end of your opponent's next turn.",,Hokuyuu,3,legal,legal
ST22-013,,Character,Blue,5,,7000,1000,Strike,Giant/Whitebeard Pirates Allies,,,shosuke,3,legal,legal
ST22-013p1,Parallel,Character,Blue,5,,7000,1000,Strike,Giant/Whitebeard Pirates Allies,,,shosuke,3,legal,legal
ST22-014,,Character,Blue,4,,6000,1000,Slash,Whitebeard Pirates Allies,,,kankurou,3,legal,legal
ST22-014p1,Parallel,Character,Blue,4,,6000,1000,Slash,Whitebeard Pirates Allies,,,kankurou,3,legal,legal
ST22-015,,Event,Blue,8,,,,,The Four Emperors/Whitebeard Pirates,"[Main] If your Leader's type includes ""Whitebeard Pirates"", play up to 1 [Edward.Newgate] from your hand. Then, you may add 1 card from the top or bottom of your Life cards to your hand. If you do, up to 1 of your Leader gains +2000 power until the end of your opponent's next turn.",,,3,legal,legal
ST22-016,,Event,Blue,1,,,,,Whitebeard Pirates,"[Counter] Reveal 1 card from the top of your deck. If that card's type includes ""Whitebeard Pirates"", up to 1 of your Leader or Character cards gains +4000 power during this battle. [Trigger] Draw 1 card.",,,3,legal,legal
ST22-017,,Event,Blue,5,,,,,Whitebeard Pirates,"[Main] You may reveal 2 cards with a type including ""Whitebeard Pirates"" from your hand: Draw 1 card. Then, place up to 1 Character with a cost of 5 or less at the bottom of the owner's deck. [Trigger] Return up to 1 Character with a cost of 3 or less to the owner's hand.",,,3,legal,legal
