card_number,as_of,market_usd
OP04-096,2026-09-05,0.11
OP04-096p1,2026-09-05,0.15
OP05-004,2026-09-05,0.13
OP05-004p2,2026-09-05,0.18
OP05-021,2026-09-05,0.18
OP05-021p1,2026-09-05,0.43
OP05-030,2026-09-05,0.32
OP05-030p2,2026-09-05,3.88
OP05-036,2026-09-05,0.11
OP05-036p3,2026-09-05,0.21
OP05-037,2026-09-05,0.26
OP05-052,2026-09-05,0.07
OP05-052p1,2026-09-05,0.13
OP05-077,2026-09-05,0.30
OP05-077p1,2026-09-05,2.73
OP05-091,2026-09-05,1.56
OP05-091p4,2026-09-05,136.83
OP05-097,2026-09-05,0.13
OP05-097p1,2026-09-05,0.24
OP05-097p2,2026-09-05,26.02
OP05-102,2026-09-05,0.28
OP06-007,2026-09-05,1.59
OP06-007p2,2026-09-05,206.95
OP06-044,2026-09-05,0.17
OP06-044p1,2026-09-05,0.30
OP06-047,2026-09-05,0.32
OP06-047p4,2026-09-05,89.76
OP06-049,2026-09-05,0.06
OP06-049p1,2026-09-05,0.10
OP06-056,2026-09-05,0.06
OP06-056p3,2026-09-05,0.16
OP06-058,2026-09-05,5.00
OP06-058p1,2026-09-05,43.99
OP06-059,2026-09-05,0.10
OP06-059p1,2026-09-05,0.24
OP06-063,2026-09-05,0.10
OP06-063p1,2026-09-05,0.24
OP06-073,2026-09-05,0.08
OP06-073p1,2026-09-05,0.13
OP06-076,2026-09-05,0.13
OP06-076p4,2026-09-05,0.30
OP06-078,2026-09-05,0.13
OP06-078p1,2026-09-05,0.21
OP06-107,2026-09-05,0.46
OP06-115,2026-09-05,1.43
OP06-115p1,2026-09-05,21.51
OP06-118,2026-09-05,8.08
OP06-119,2026-09-05,6.22
OP06-119p3,2026-09-05,2194.00
OP07-014,2026-09-05,0.07
OP07-014p1,2026-09-05,0.25
OP07-015,2026-09-05,0.51
OP07-017,2026-09-05,0.08
OP07-017p1,2026-09-05,0.18
OP07-021,2026-09-05,0.10
OP07-021p3,2026-09-05,1.60
OP07-026,2026-09-05,1.86
OP07-029,2026-09-05,0.28
OP07-031,2026-09-05,0.08
OP07-031p1,2026-09-05,0.19
OP07-040,2026-09-05,0.16
OP07-040p1,2026-09-05,0.19
OP07-040p2,2026-09-05,3.64
OP07-056,2026-09-05,0.25
OP07-056p1,2026-09-05,1.03
OP07-064,2026-09-05,1.43
OP07-076,2026-09-05,0.83
OP07-076p1,2026-09-05,3.52
OP07-107,2026-09-05,0.36
OP07-109,2026-09-05,1.63
OP07-114,2026-09-05,0.11
OP07-114p1,2026-09-05,0.24
OP07-118,2026-09-05,1.28
OP07-119,2026-09-05,1.64
OP08-023,2026-09-05,0.94
OP08-023p2,2026-09-05,107.04
OP08-067,2026-09-05,0.25
OP08-074,2026-09-05,1.40
OP08-076,2026-09-05,0.20
OP08-076p1,2026-09-05,1.68
OP08-087,2026-09-05,0.05
OP08-087p1,2026-09-05,0.11
OP08-099,2026-09-05,0.06
OP08-099p1,2026-09-05,0.13
OP08-118,2026-09-05,4.66
OP09-002,2026-09-05,0.32
OP09-004,2026-09-05,1.13
OP09-005,2026-09-05,0.14
OP09-009,2026-09-05,1.02
OP09-014,2026-09-05,0.07
OP09-014p1,2026-09-05,0.21
OP09-014p2,2026-09-05,4.77
OP09-020,2026-09-05,0.16
OP09-020p1,2026-09-05,299.18
OP09-027,2026-09-05,0.11
OP09-027p1,2026-09-05,0.20
OP09-033,2026-09-05,0.14
OP09-033p1,2026-09-05,0.44
OP09-046,2026-09-05,0.45
OP09-048,2026-09-05,0.43
OP09-056,2026-09-05,0.12
OP09-056p1,2026-09-05,4.80
OP09-057,2026-09-05,0.15
OP09-057p1,2026-09-05,295.39
OP09-065,2026-09-05,0.76
OP09-069,2026-09-05,0.41
OP09-072,2026-09-05,0.64
OP09-076,2026-09-05,0.26
OP09-076p2,2026-09-05,58.45
OP09-077,2026-09-05,0.20
OP09-077p1,2026-09-05,1.11
OP09-078,2026-09-05,1.70
OP09-078p1,2026-09-05,898.95
OP09-079,2026-09-05,0.08
OP09-079p1,2026-09-05,0.23
OP09-084,2026-09-05,0.11
OP09-084p1,2026-09-05,0.23
OP09-086,2026-09-05,0.25
OP09-086p1,2026-09-05,67.09
OP09-093,2026-09-05,1.63
OP09-096,2026-09-05,0.55
OP09-096p1,2026-09-05,380.35
OP09-097,2026-09-05,0.17
OP09-097p1,2026-09-05,0.40
OP09-098,2026-09-05,0.17
OP09-098p1,2026-09-05,0.71
OP10-011,2026-09-05,0.60
OP10-011p1,2026-09-05,37.73
OP10-018,2026-09-05,0.07
OP10-018p1,2026-09-05,0.23
OP10-032,2026-09-05,0.61
OP10-046,2026-09-05,0.32
OP10-079,2026-09-05,0.10
OP10-079p1,2026-09-05,0.31
OP10-095,2026-09-05,0.17
OP10-095p1,2026-09-05,12.57
OP10-105,2026-09-05,0.06
OP10-105p1,2026-09-05,0.14
OP10-108,2026-09-05,0.07
OP10-108p1,2026-09-05,0.23
OP10-109,2026-09-05,0.36
OP10-109p1,2026-09-05,17.37
OP10-112,2026-09-05,1.34
OP10-114,2026-09-05,0.10
OP10-114p1,2026-09-05,0.20
OP10-114p2,2026-09-05,30.36
OP10-119,2026-09-05,8.17
OP10-119p3,2026-09-05,168.02
P-044p2,2026-09-05,0.21
P-044p3,2026-09-05,0.28
P-063p2,2026-09-05,0.19
P-063p3,2026-09-05,0.28
P-063p4,2026-09-05,1.60
P-068p1,2026-09-05,0.21
P-068p2,2026-09-05,0.29
P-069p2,2026-09-05,0.27
P-069p3,2026-09-05,0.36
P-070p2,2026-09-05,0.37
P-070p3,2026-09-05,0.58
P-073p1,2026-09-05,0.38
P-073p2,2026-09-05,0.30
P-074p1,2026-09-05,0.39
P-074p2,2026-09-05,0.45
P-075p1,2026-09-05,0.36
P-075p2,2026-09-05,0.60
P-078p1,2026-09-05,0.39
P-078p2,2026-09-05,0.39
P-079p2,2026-09-05,0.33
P-079p3,2026-09-05,0.29
P-081p2,2026-09-05,0.25
P-081p3,2026-09-05,0.34
P-082p2,2026-09-05,0.28
P-082p3,2026-09-05,0.34
P-083p2,2026-09-05,0.36
P-083p3,2026-09-05,0.32
P-085p1,2026-09-05,0.23
P-085p2,2026-09-05,0.39
P-088p1,2026-09-05,2.45
P-088p2,2026-09-05,3.42
ST01-011,2026-09-05,5.34
ST01-011p7,2026-09-05,3.35
ST02-007,2026-09-05,1.16
ST02-007p5,2026-09-05,0.69
ST06-008,2026-09-05,0.40
ST06-008p2,2026-09-05,0.22
ST10-005,2026-09-05,0.30
ST10-005p2,2026-09-05,0.18
ST10-008,2026-09-05,0.16
ST10-008p1,2026-09-05,0.16
ST12-005,2026-09-05,0.17
ST12-005p1,2026-09-05,0.45
ST12-017,2026-09-05,0.16
ST12-017p1,2026-09-05,0.18
ST13-004,2026-09-05,0.15
ST13-004p2,2026-09-05,0.16
ST13-007,2026-09-05,0.24
ST13-007p2,2026-09-05,0.21
ST13-010,2026-09-05,0.26
ST13-010p2,2026-09-05,0.28
ST13-014,2026-09-05,0.26
ST13-014p2,2026-09-05,0.30
ST13-019,2026-09-05,0.25
ST13-019p1,2026-09-05,0.25
ST14-007,2026-09-05,0.66
ST14-007p1,2026-09-05,0.58
ST14-010,2026-09-05,0.13
ST14-010p1,2026-09-05,0.23
ST14-013,2026-09-05,0.18
ST14-013p1,2026-09-05,0.50
ST14-016,2026-09-05,0.23
ST14-016p1,2026-09-05,0.33
ST14-017,2026-09-05,6.05
ST14-017p1,2026-09-05,3.12
ST15-002,2026-09-05,1.28
ST15-002p2,2026-09-05,37.08
ST16-003,2026-09-05,0.11
ST16-003p1,2026-09-05,0.15
ST16-004,2026-09-05,8.03
ST16-004p2,2026-09-05,51.61
ST16-005,2026-09-05,0.28
ST16-005p1,2026-09-05,0.32
ST17-002,2026-09-05,0.55
ST17-002p1,2026-09-05,21.01
ST17-003,2026-09-05,0.44
ST17-003p2,2026-09-05,0.29
ST17-005,2026-09-05,0.29
ST17-005p1,2026-09-05,0.19
ST18-001,2026-09-05,4.80
ST18-001p2,2026-09-05,3.34
ST18-001p3,2026-09-05,26.04
ST18-002,2026-09-05,0.25
ST18-002p1,2026-09-05,1.05
ST18-003,2026-09-05,0.20
ST18-003p2,2026-09-05,0.22
ST19-002,2026-09-05,0.51
ST19-002p3,2026-09-05,0.16
ST20-003,2026-09-05,0.16
ST20-003p1,2026-09-05,0.16
ST21-003,2026-09-05,1.49
ST21-003p2,2026-09-05,1.14
