card_number,as_of,market_usd,source
OP01-016p7,2026-06-22,2283.09,tcgplayer
OP01-016p7,2026-06-29,2283.09,tcgplayer
OP01-016p7,2026-07-06,2169.64,tcgplayer
OP01-016p7,2026-07-13,2012.04,tcgplayer
OP01-016p7,2026-07-20,2012.04,tcgplayer
OP01-016p7,2026-07-27,2013.55,tcgplayer
OP01-016p7,2026-08-03,2057.76,tcgplayer
OP01-016p7,2026-08-10,2057.76,tcgplayer
OP01-016p7,2026-08-17,2057.76,tcgplayer
OP01-016p7,2026-08-24,2017.24,tcgplayer
OP01-016p7,2026-08-31,2017.24,tcgplayer
OP01-016p7,2026-09-05,2017.24,limitless
OP01-024,2026-09-05,2.23,limitless
OP01-024p2,2025-09-08,18.39,tcgplayer
OP01-024p2,2025-09-15,20.90,tcgplayer
OP01-024p2,2025-09-22,21.40,tcgplayer
OP01-024p2,2025-09-29,20.29,tcgplayer
OP01-024p2,2025-10-06,17.74,tcgplayer
OP01-024p2,2025-10-13,16.11,tcgplayer
OP01-024p2,2025-10-20,15.89,tcgplayer
OP01-024p2,2025-10-27,16.62,tcgplayer
OP01-024p2,2025-11-03,17.24,tcgplayer
OP01-024p2,2025-11-10,17.31,tcgplayer
OP01-024p2,2025-11-17,17.26,tcgplayer
OP01-024p2,2025-11-24,17.82,tcgplayer
OP01-024p2,2025-12-01,29.47,tcgplayer
OP01-024p2,2025-12-08,38.02,tcgplayer
OP01-024p2,2025-12-15,39.60,tcgplayer
OP01-024p2,2025-12-22,35.50,tcgplayer
OP01-024p2,2025-12-29,43.95,tcgplayer
OP01-024p2,2026-01-05,57.71,tcgplayer
OP01-024p2,2026-01-12,65.23,tcgplayer
OP01-024p2,2026-01-19,63.41,tcgplayer
OP01-024p2,2026-01-26,61.39,tcgplayer
OP01-024p2,2026-02-02,56.89,tcgplayer
OP01-024p2,2026-02-09,40.25,tcgplayer
OP01-024p2,2026-02-16,32.46,tcgplayer
OP01-024p2,2026-02-23,32.90,tcgplayer
OP01-024p2,2026-03-02,31.46,tcgplayer
OP01-024p2,2026-03-09,27.76,tcgplayer
OP01-024p2,2026-03-16,25.87,tcgplayer
OP01-024p2,2026-03-23,26.72,tcgplayer
OP01-024p2,2026-03-30,26.90,tcgplayer
OP01-024p2,2026-04-06,27.65,tcgplayer
OP01-024p2,2026-04-13,28.76,tcgplayer
OP01-024p2,2026-04-20,30.73,tcgplayer
OP01-024p2,2026-04-27,30.78,tcgplayer
OP01-024p2,2026-05-04,30.96,tcgplayer
OP01-024p2,2026-05-11,32.49,tcgplayer
OP01-024p2,2026-05-18,33.27,tcgplayer
OP01-024p2,2026-05-25,43.71,tcgplayer
OP01-024p2,2026-06-01,60.26,tcgplayer
OP01-024p2,2026-06-08,70.55,tcgplayer
OP01-024p2,2026-06-15,74.44,tcgplayer
OP01-024p2,2026-06-22,77.69,tcgplayer
OP01-024p2,2026-06-29,79.49,tcgplayer
OP01-024p2,2026-07-06,79.49,tcgplayer
OP01-024p2,2026-07-13,78.84,tcgplayer
OP01-024p2,2026-07-20,79.64,tcgplayer
OP01-024p2,2026-07-27,80.36,tcgplayer
OP01-024p2,2026-08-03,78.34,tcgplayer
OP01-024p2,2026-08-10,76.02,tcgplayer
OP01-024p2,2026-08-17,74.55,tcgplayer
OP01-024p2,2026-08-24,74.55,tcgplayer
OP01-024p2,2026-08-31,73.23,tcgplayer
OP01-024p2,2026-09-05,73.23,limitless
OP01-029,2026-09-05,0.25,limitless
OP01-029p1,2025-09-08,0.60,tcgplayer
OP01-029p1,2025-09-15,0.58,tcgplayer
OP01-029p1,2025-09-22,0.64,tcgplayer
OP01-029p1,2025-09-29,0.64,tcgplayer
OP01-029p1,2025-10-06,0.70,tcgplayer
OP01-029p1,2025-10-13,0.58,tcgplayer
OP01-029p1,2025-10-20,0.82,tcgplayer
OP01-029p1,2025-10-27,0.88,tcgplayer
OP01-029p1,2025-11-03,0.93,tcgplayer
OP01-029p1,2025-11-10,1.14,tcgplayer
OP01-029p1,2025-11-17,1.52,tcgplayer
OP01-029p1,2025-11-24,1.97,tcgplayer
OP01-029p1,2025-12-01,1.69,tcgplayer
OP01-029p1,2025-12-08,1.86,tcgplayer
OP01-029p1,2025-12-15,1.78,tcgplayer
OP01-029p1,2025-12-22,1.81,tcgplayer
OP01-029p1,2025-12-29,1.90,tcgplayer
OP01-029p1,2026-01-05,1.62,tcgplayer
OP01-029p1,2026-01-12,1.49,tcgplayer
OP01-029p1,2026-01-19,1.21,tcgplayer
OP01-029p1,2026-01-26,1.17,tcgplayer
OP01-029p1,2026-02-02,1.07,tcgplayer
OP01-029p1,2026-02-09,1.04,tcgplayer
OP01-029p1,2026-02-16,1.01,tcgplayer
OP01-029p1,2026-02-23,0.98,tcgplayer
OP01-029p1,2026-03-02,0.92,tcgplayer
OP01-029p1,2026-03-09,0.92,tcgplayer
OP01-029p1,2026-03-16,0.90,tcgplayer
OP01-029p1,2026-03-23,0.88,tcgplayer
OP01-029p1,2026-03-30,0.84,tcgplayer
OP01-029p1,2026-04-06,0.85,tcgplayer
OP01-029p1,2026-04-20,0.83,tcgplayer
OP01-029p1,2026-04-27,0.83,tcgplayer
OP01-029p1,2026-05-04,0.80,tcgplayer
OP01-029p1,2026-05-11,0.72,tcgplayer
OP01-029p1,2026-05-18,0.69,tcgplayer
OP01-029p1,2026-05-25,0.63,tcgplayer
OP01-029p1,2026-06-01,0.52,tcgplayer
OP01-029p1,2026-06-08,0.51,tcgplayer
OP01-029p1,2026-06-15,0.47,tcgplayer
OP01-029p1,2026-06-22,0.46,tcgplayer
OP01-029p1,2026-06-29,0.44,tcgplayer
OP01-029p1,2026-07-06,0.45,tcgplayer
OP01-029p1,2026-07-13,0.45,tcgplayer
OP01-029p1,2026-07-20,0.44,tcgplayer
OP01-029p1,2026-07-27,0.45,tcgplayer
OP01-029p1,2026-08-03,0.45,tcgplayer
OP01-029p1,2026-08-10,0.44,tcgplayer
OP01-029p1,2026-08-17,0.43,tcgplayer
OP01-029p1,2026-08-24,0.42,tcgplayer
OP01-029p1,2026-08-31,0.42,tcgplayer
OP01-029p1,2026-09-05,0.42,limitless
OP01-029p2,2025-09-08,1.53,tcgplayer
OP01-029p2,2025-09-15,1.93,tcgplayer
OP01-029p2,2025-09-22,2.12,tcgplayer
OP01-029p2,2025-09-29,2.79,tcgplayer
OP01-029p2,2025-10-06,2.82,tcgplayer
OP01-029p2,2025-10-13,2.90,tcgplayer
OP01-029p2,2025-10-20,3.27,tcgplayer
OP01-029p2,2025-10-27,3.51,tcgplayer
OP01-029p2,2025-11-03,3.99,tcgplayer
OP01-029p2,2025-11-10,4.23,tcgplayer
OP01-029p2,2025-11-17,4.82,tcgplayer
OP01-029p2,2025-11-24,4.75,tcgplayer
OP01-029p2,2025-12-01,4.47,tcgplayer
OP01-029p2,2025-12-08,4.21,tcgplayer
OP01-029p2,2025-12-15,3.69,tcgplayer
OP01-029p2,2025-12-22,3.43,tcgplayer
OP01-029p2,2025-12-29,3.46,tcgplayer
OP01-029p2,2026-01-05,3.57,tcgplayer
OP01-029p2,2026-01-12,3.70,tcgplayer
OP01-029p2,2026-01-19,3.75,tcgplayer
OP01-029p2,2026-01-26,3.59,tcgplayer
OP01-029p2,2026-02-02,3.54,tcgplayer
OP01-029p2,2026-02-09,3.44,tcgplayer
OP01-029p2,2026-02-16,3.31,tcgplayer
OP01-029p2,2026-02-23,3.19,tcgplayer
OP01-029p2,2026-03-02,3.11,tcgplayer
OP01-029p2,2026-03-09,3.08,tcgplayer
OP01-029p2,2026-03-16,3.06,tcgplayer
OP01-029p2,2026-03-23,3.08,tcgplayer
OP01-029p2,2026-03-30,2.97,tcgplayer
OP01-029p2,2026-04-06,2.92,tcgplayer
OP01-029p2,2026-04-13,2.90,tcgplayer
OP01-029p2,2026-04-20,2.84,tcgplayer
OP01-029p2,2026-04-27,2.82,tcgplayer
OP01-029p2,2026-05-04,2.80,tcgplayer
OP01-029p2,2026-05-11,2.79,tcgplayer
OP01-029p2,2026-05-18,2.79,tcgplayer
OP01-029p2,2026-05-25,2.73,tcgplayer
OP01-029p2,2026-06-01,2.73,tcgplayer
OP01-029p2,2026-06-08,2.76,tcgplayer
OP01-029p2,2026-06-15,2.76,tcgplayer
OP01-029p2,2026-06-22,2.72,tcgplayer
OP01-029p2,2026-06-29,2.72,tcgplayer
OP01-029p2,2026-07-06,2.65,tcgplayer
OP01-029p2,2026-07-13,2.66,tcgplayer
OP01-029p2,2026-07-20,2.60,tcgplayer
OP01-029p2,2026-07-27,2.61,tcgplayer
OP01-029p2,2026-08-03,2.57,tcgplayer
OP01-029p2,2026-08-10,2.55,tcgplayer
OP01-029p2,2026-08-17,2.55,tcgplayer
OP01-029p2,2026-08-24,2.49,tcgplayer
OP01-029p2,2026-08-31,2.15,tcgplayer
OP01-029p2,2026-09-05,2.15,limitless
OP01-033,2026-09-05,0.22,limitless
OP01-033p4,2025-09-08,0.60,tcgplayer
OP01-033p4,2025-09-15,0.59,tcgplayer
OP01-033p4,2025-09-22,0.60,tcgplayer
OP01-033p4,2025-09-29,0.62,tcgplayer
OP01-033p4,2025-10-06,0.62,tcgplayer
OP01-033p4,2025-10-13,0.56,tcgplayer
OP01-033p4,2025-10-20,0.54,tcgplayer
OP01-033p4,2025-10-27,0.57,tcgplayer
OP01-033p4,2025-11-03,0.60,tcgplayer
OP01-033p4,2025-11-10,0.61,tcgplayer
OP01-033p4,2025-11-17,0.62,tcgplayer
OP01-033p4,2025-11-24,0.66,tcgplayer
OP01-033p4,2025-12-01,0.67,tcgplayer
OP01-033p4,2025-12-08,0.67,tcgplayer
OP01-033p4,2025-12-15,0.67,tcgplayer
OP01-033p4,2025-12-22,0.69,tcgplayer
OP01-033p4,2025-12-29,0.60,tcgplayer
OP01-033p4,2026-01-05,0.55,tcgplayer
OP01-033p4,2026-01-12,0.50,tcgplayer
OP01-033p4,2026-01-19,0.66,tcgplayer
OP01-033p4,2026-01-26,0.70,tcgplayer
OP01-033p4,2026-02-02,0.69,tcgplayer
OP01-033p4,2026-02-09,0.64,tcgplayer
OP01-033p4,2026-02-16,0.67,tcgplayer
OP01-033p4,2026-02-23,0.61,tcgplayer
OP01-033p4,2026-03-02,0.61,tcgplayer
OP01-033p4,2026-03-09,0.61,tcgplayer
OP01-033p4,2026-03-16,0.61,tcgplayer
OP01-033p4,2026-03-23,0.60,tcgplayer
OP01-033p4,2026-03-30,0.56,tcgplayer
OP01-033p4,2026-04-06,0.53,tcgplayer
OP01-033p4,2026-04-13,0.48,tcgplayer
OP01-033p4,2026-04-20,0.43,tcgplayer
OP01-033p4,2026-04-27,0.43,tcgplayer
OP01-033p4,2026-05-04,0.43,tcgplayer
OP01-033p4,2026-05-11,0.39,tcgplayer
OP01-033p4,2026-05-18,0.38,tcgplayer
OP01-033p4,2026-05-25,0.37,tcgplayer
OP01-033p4,2026-06-01,0.42,tcgplayer
OP01-033p4,2026-06-08,0.42,tcgplayer
OP01-033p4,2026-06-15,0.42,tcgplayer
OP01-033p4,2026-06-22,0.45,tcgplayer
OP01-033p4,2026-06-29,0.45,tcgplayer
OP01-033p4,2026-07-06,0.47,tcgplayer
OP01-033p4,2026-07-13,0.46,tcgplayer
OP01-033p4,2026-07-20,0.44,tcgplayer
OP01-033p4,2026-07-27,0.44,tcgplayer
OP01-033p4,2026-08-03,0.42,tcgplayer
OP01-033p4,2026-08-10,0.42,tcgplayer
OP01-033p4,2026-08-17,0.38,tcgplayer
OP01-033p4,2026-08-24,0.37,tcgplayer
OP01-033p4,2026-08-31,0.36,tcgplayer
OP01-033p4,2026-09-05,0.36,limitless
OP01-033p5,2025-09-08,2.24,tcgplayer
OP01-033p5,2025-09-15,2.24,tcgplayer
OP01-033p5,2025-09-22,2.22,tcgplayer
OP01-033p5,2025-09-29,2.24,tcgplayer
OP01-033p5,2025-10-06,2.24,tcgplayer
OP01-033p5,2025-10-13,2.30,tcgplayer
OP01-033p5,2025-10-20,2.30,tcgplayer
OP01-033p5,2025-10-27,2.28,tcgplayer
OP01-033p5,2025-11-03,2.31,tcgplayer
OP01-033p5,2025-11-10,2.31,tcgplayer
OP01-033p5,2025-11-17,2.30,tcgplayer
OP01-033p5,2025-11-24,2.23,tcgplayer
OP01-033p5,2025-12-01,2.20,tcgplayer
OP01-033p5,2025-12-08,2.15,tcgplayer
OP01-033p5,2025-12-15,2.22,tcgplayer
OP01-033p5,2025-12-22,2.22,tcgplayer
OP01-033p5,2025-12-29,2.23,tcgplayer
OP01-033p5,2026-01-05,2.20,tcgplayer
OP01-033p5,2026-01-12,2.17,tcgplayer
OP01-033p5,2026-01-19,2.15,tcgplayer
OP01-033p5,2026-01-26,2.25,tcgplayer
OP01-033p5,2026-02-02,2.16,tcgplayer
OP01-033p5,2026-02-09,2.15,tcgplayer
OP01-033p5,2026-02-16,2.13,tcgplayer
OP01-033p5,2026-02-23,2.08,tcgplayer
OP01-033p5,2026-03-02,2.08,tcgplayer
OP01-033p5,2026-03-09,2.00,tcgplayer
OP01-033p5,2026-03-16,2.04,tcgplayer
OP01-033p5,2026-03-23,2.04,tcgplayer
OP01-033p5,2026-03-30,2.01,tcgplayer
OP01-033p5,2026-04-06,1.80,tcgplayer
OP01-033p5,2026-04-13,1.86,tcgplayer
OP01-033p5,2026-04-20,1.83,tcgplayer
OP01-033p5,2026-04-27,1.83,tcgplayer
OP01-033p5,2026-05-04,1.85,tcgplayer
OP01-033p5,2026-05-11,1.82,tcgplayer
OP01-033p5,2026-05-18,1.83,tcgplayer
OP01-033p5,2026-05-25,1.81,tcgplayer
OP01-033p5,2026-06-01,1.81,tcgplayer
OP01-033p5,2026-06-08,1.80,tcgplayer
OP01-033p5,2026-06-15,1.80,tcgplayer
OP01-033p5,2026-06-22,1.83,tcgplayer
OP01-033p5,2026-06-29,1.85,tcgplayer
OP01-033p5,2026-07-06,1.85,tcgplayer
OP01-033p5,2026-07-13,1.85,tcgplayer
OP01-033p5,2026-07-20,1.86,tcgplayer
OP01-033p5,2026-07-27,1.88,tcgplayer
OP01-033p5,2026-08-03,1.89,tcgplayer
OP01-033p5,2026-08-10,1.90,tcgplayer
OP01-033p5,2026-08-17,1.92,tcgplayer
OP01-033p5,2026-08-24,1.96,tcgplayer
OP01-033p5,2026-08-31,1.96,tcgplayer
OP01-033p5,2026-09-05,1.96,limitless
OP01-033p6,2025-09-08,10.50,tcgplayer
OP01-033p6,2025-09-15,10.18,tcgplayer
OP01-033p6,2025-09-22,10.06,tcgplayer
OP01-033p6,2025-09-29,10.10,tcgplayer
OP01-033p6,2025-10-06,10.07,tcgplayer
OP01-033p6,2025-10-13,9.96,tcgplayer
OP01-033p6,2025-10-20,9.54,tcgplayer
OP01-033p6,2025-10-27,8.69,tcgplayer
OP01-033p6,2025-11-03,8.37,tcgplayer
OP01-033p6,2025-11-10,8.30,tcgplayer
OP01-033p6,2025-11-17,8.26,tcgplayer
OP01-033p6,2025-11-24,8.07,tcgplayer
OP01-033p6,2025-12-01,8.08,tcgplayer
OP01-033p6,2025-12-08,8.01,tcgplayer
OP01-033p6,2025-12-15,7.86,tcgplayer
OP01-033p6,2025-12-22,7.81,tcgplayer
OP01-033p6,2025-12-29,7.48,tcgplayer
OP01-033p6,2026-01-05,7.50,tcgplayer
OP01-033p6,2026-01-12,7.48,tcgplayer
OP01-033p6,2026-01-19,7.59,tcgplayer
OP01-033p6,2026-01-26,7.71,tcgplayer
OP01-033p6,2026-02-02,7.78,tcgplayer
OP01-033p6,2026-02-09,7.96,tcgplayer
OP01-033p6,2026-02-16,7.75,tcgplayer
OP01-033p6,2026-02-23,7.75,tcgplayer
OP01-033p6,2026-03-02,7.64,tcgplayer
OP01-033p6,2026-03-09,7.59,tcgplayer
OP01-033p6,2026-03-16,7.57,tcgplayer
OP01-033p6,2026-03-23,7.81,tcgplayer
OP01-033p6,2026-03-30,7.74,tcgplayer
OP01-033p6,2026-04-06,7.58,tcgplayer
OP01-033p6,2026-04-13,7.34,tcgplayer
OP01-033p6,2026-04-20,6.99,tcgplayer
OP01-033p6,2026-04-27,6.99,tcgplayer
OP01-033p6,2026-05-04,6.96,tcgplayer
OP01-033p6,2026-05-11,6.79,tcgplayer
OP01-033p6,2026-05-18,6.60,tcgplayer
OP01-033p6,2026-05-25,6.19,tcgplayer
OP01-033p6,2026-06-01,6.20,tcgplayer
OP01-033p6,2026-06-08,6.12,tcgplayer
OP01-033p6,2026-06-15,6.01,tcgplayer
OP01-033p6,2026-06-22,6.09,tcgplayer
OP01-033p6,2026-06-29,5.99,tcgplayer
OP01-033p6,2026-07-06,5.86,tcgplayer
OP01-033p6,2026-07-13,5.74,tcgplayer
OP01-033p6,2026-07-20,5.70,tcgplayer
OP01-033p6,2026-07-27,5.61,tcgplayer
OP01-033p6,2026-08-03,5.43,tcgplayer
OP01-033p6,2026-08-10,5.21,tcgplayer
OP01-033p6,2026-08-17,5.11,tcgplayer
OP01-033p6,2026-08-24,5.11,tcgplayer
OP01-033p6,2026-08-31,5.03,tcgplayer
OP01-033p6,2026-09-05,5.06,limitless
OP01-041,2026-09-05,0.17,limitless
OP01-041p4,2025-09-08,0.26,tcgplayer
OP01-041p4,2025-09-15,0.26,tcgplayer
