card_number,as_of,market_usd
OP16-030,2026-09-05,0.14
OP16-031,2026-09-04,0.05
OP16-031,2026-09-05,0.06
OP16-032,2026-09-04,0.68
OP16-032,2026-09-05,0.70
OP16-032p1,2026-09-04,29.34
OP16-032p1,2026-09-05,29.31
OP16-033,2026-09-04,0.02
OP16-033,2026-09-05,0.03
OP16-034,2026-09-04,0.18
OP16-034,2026-09-05,0.16
OP16-034p1,2026-09-04,6.80
OP16-034p1,2026-09-05,6.69
OP16-035,2026-09-04,0.08
OP16-035,2026-09-05,0.08
OP16-036,2026-09-04,0.05
OP16-036,2026-09-05,0.05
OP16-037,2026-09-04,0.07
OP16-037,2026-09-05,0.08
OP16-038,2026-09-04,0.11
OP16-038,2026-09-05,0.10
OP16-039,2026-09-04,0.04
OP16-039,2026-09-05,0.04
OP16-040,2026-09-04,0.09
OP16-040,2026-09-05,0.08
OP16-041,2026-09-04,0.10
OP16-041,2026-09-05,0.09
OP16-041p1,2026-09-04,16.45
OP16-041p1,2026-09-05,16.56
OP16-042,2026-09-04,2.06
OP16-042,2026-09-05,1.96
OP16-043,2026-09-04,0.08
OP16-043,2026-09-05,0.09
OP16-044,2026-09-04,0.08
OP16-044,2026-09-05,0.08
OP16-045,2026-09-04,0.23
OP16-045,2026-09-05,0.22
OP16-046,2026-09-04,0.08
OP16-046,2026-09-05,0.08
OP16-047,2026-09-04,0.07
OP16-047,2026-09-05,0.07
OP16-048,2026-09-04,0.53
OP16-048,2026-09-05,0.47
OP16-048p1,2026-09-04,5.48
OP16-048p1,2026-09-05,5.35
OP16-049,2026-09-04,0.07
OP16-049,2026-09-05,0.07
OP16-050,2026-09-04,0.09
OP16-050,2026-09-05,0.08
OP16-051,2026-09-04,0.05
OP16-051,2026-09-05,0.04
OP16-052,2026-09-04,0.11
OP16-052,2026-09-05,0.09
OP16-053,2026-09-04,0.06
OP16-053,2026-09-05,0.06
OP16-054,2026-09-04,0.20
OP16-054,2026-09-05,0.19
OP16-055,2026-09-04,0.18
OP16-055,2026-09-05,0.20
OP16-055p1,2026-09-04,5.23
OP16-055p1,2026-09-05,5.21
OP16-056,2026-09-04,3.45
OP16-056,2026-09-05,3.35
OP16-056p1,2026-09-04,18.59
OP16-056p1,2026-09-05,18.11
OP16-057,2026-09-04,0.06
OP16-057,2026-09-05,0.06
OP16-058,2026-09-04,0.07
OP16-058,2026-09-05,0.08
OP16-059,2026-09-04,0.11
OP16-059,2026-09-05,0.11
OP16-060,2026-09-04,0.11
OP16-060,2026-09-05,0.11
OP16-060p1,2026-09-04,12.10
OP16-060p1,2026-09-05,12.03
OP16-061,2026-09-04,0.09
OP16-061,2026-09-05,0.09
OP16-062,2026-09-04,0.06
OP16-062,2026-09-05,0.06
OP16-063,2026-09-04,0.14
OP16-063,2026-09-05,0.14
OP16-063p1,2026-09-04,4.86
OP16-063p1,2026-09-05,4.90
OP16-063p2,2026-09-04,1146.03
OP16-063p2,2026-09-05,1146.03
OP16-064,2026-09-04,0.16
OP16-064,2026-09-05,0.17
OP16-065,2026-09-04,0.45
OP16-065,2026-09-05,0.41
OP16-065p1,2026-09-04,12.46
OP16-065p1,2026-09-05,12.31
OP16-065p2,2026-09-04,1141.32
OP16-065p2,2026-09-05,1140.40
OP16-066,2026-09-04,0.08
OP16-066,2026-09-05,0.09
OP16-067,2026-09-04,0.12
OP16-067,2026-09-05,0.12
OP16-068,2026-09-04,0.07
OP16-068,2026-09-05,0.07
OP16-069,2026-09-04,0.09
OP16-069,2026-09-05,0.10
OP16-070,2026-09-04,0.12
OP16-070,2026-09-05,0.11
OP16-071,2026-09-04,0.06
OP16-071,2026-09-05,0.07
OP16-072,2026-09-04,0.06
OP16-072,2026-09-05,0.06
OP16-073,2026-09-04,0.16
OP16-073,2026-09-05,0.16
OP16-073p1,2026-09-04,5.08
OP16-073p1,2026-09-05,4.90
OP16-073p2,2026-09-04,1043.28
OP16-073p2,2026-09-05,1043.28
OP16-074,2026-09-04,0.07
OP16-074,2026-09-05,0.07
OP16-075,2026-09-04,0.08
OP16-075,2026-09-05,0.08
OP16-076,2026-09-04,0.11
OP16-076,2026-09-05,0.09
OP16-077,2026-09-04,0.13
OP16-077,2026-09-05,0.13
OP16-078,2026-09-04,0.12
OP16-078,2026-09-05,0.12
OP16-079,2026-09-04,0.10
OP16-079,2026-09-05,0.10
OP16-079p1,2026-09-04,48.86
OP16-079p1,2026-09-05,48.95
OP16-080,2026-09-04,0.14
OP16-080,2026-09-05,0.11
OP16-080p1,2026-09-04,19.85
OP16-080p1,2026-09-05,18.98
OP16-081,2026-09-04,0.07
OP16-081,2026-09-05,0.08
OP16-082,2026-09-04,0.84
OP16-082,2026-09-05,1.14
OP16-082p1,2026-09-04,11.62
OP16-082p1,2026-09-05,11.64
OP16-083,2026-09-04,0.06
OP16-083,2026-09-05,0.06
OP16-084,2026-09-04,0.15
OP16-084,2026-09-05,0.15
OP16-085,2026-09-04,0.17
OP16-085,2026-09-05,0.22
OP16-085p1,2026-09-04,12.35
OP16-085p1,2026-09-05,12.33
OP16-086,2026-09-04,0.08
OP16-086,2026-09-05,0.08
OP16-087,2026-09-04,0.45
OP16-087,2026-09-05,0.48
OP16-088,2026-09-04,0.05
OP16-088,2026-09-05,0.06
OP16-089,2026-09-04,0.06
OP16-089,2026-09-05,0.08
OP16-090,2026-09-04,0.10
OP16-090,2026-09-05,0.10
OP16-091,2026-09-04,0.50
OP16-091,2026-09-05,0.61
OP16-092,2026-09-04,0.18
OP16-092,2026-09-05,0.18
OP16-093,2026-09-04,0.06
OP16-093,2026-09-05,0.06
OP16-094,2026-09-04,0.11
OP16-094,2026-09-05,0.10
OP16-095,2026-09-04,0.16
OP16-095,2026-09-05,0.20
OP16-096,2026-09-04,0.37
OP16-096,2026-09-05,0.43
OP16-097,2026-09-04,0.32
OP16-097,2026-09-05,0.37
OP16-098,2026-09-04,1.16
OP16-098,2026-09-05,1.40
OP16-098p1,2026-09-04,31.45
OP16-098p1,2026-09-05,31.26
OP16-099,2026-09-04,0.45
OP16-099,2026-09-05,0.47
OP16-100,2026-09-04,0.09
OP16-100,2026-09-05,0.09
OP16-101,2026-09-04,0.10
OP16-101,2026-09-05,0.10
OP16-102,2026-09-04,0.08
OP16-102,2026-09-05,0.08
OP16-103,2026-09-04,0.09
OP16-103,2026-09-05,0.10
OP16-104,2026-09-04,0.12
OP16-104,2026-09-05,0.13
OP16-105,2026-09-04,0.08
OP16-105,2026-09-05,0.09
OP16-106,2026-09-04,0.09
OP16-106,2026-09-05,0.11
OP16-107,2026-09-04,0.06
OP16-107,2026-09-05,0.07
OP16-108,2026-09-04,0.41
OP16-108,2026-09-05,0.38
OP16-108p1,2026-09-04,6.18
OP16-108p1,2026-09-05,6.46
OP16-109,2026-09-04,0.09
OP16-109,2026-09-05,0.08
OP16-110,2026-09-04,0.13
OP16-110,2026-09-05,0.12
OP16-111,2026-09-04,0.06
OP16-111,2026-09-05,0.06
OP16-112,2026-09-04,0.10
OP16-112,2026-09-05,0.09
OP16-113,2026-09-04,0.07
OP16-113,2026-09-05,0.07
OP16-114,2026-09-04,0.06
OP16-114,2026-09-05,0.05
OP16-115,2026-09-04,0.07
OP16-115,2026-09-05,0.08
OP16-116,2026-09-04,0.15
OP16-116,2026-09-05,0.17
OP16-116p1,2026-09-04,65.53
OP16-116p1,2026-09-05,63.80
OP16-117,2026-09-04,0.06
OP16-117,2026-09-05,0.07
OP16-118,2026-09-04,14.86
OP16-118,2026-09-05,15.94
OP16-118p1,2026-09-04,26.10
OP16-118p1,2026-09-05,26.24
OP16-119,2026-09-04,24.86
OP16-119,2026-09-05,27.47
OP16-119p1,2026-09-04,37.37
OP16-119p1,2026-09-05,38.22
